lcType,pixelCount,pixelTotal,percentage
total pixel,7327541,14655081.7106,50.0
Tree cover,2875778,14655081.7106,19.62
Grassland,2079368,14655081.7106,14.19
Built-up,804536,14655081.7106,5.49
Mangroves,502555,14655081.7106,3.43
Permanent water bodies,444102,14655081.7106,3.03
Herbaceous wetland,335496,14655081.7106,2.29
Shrubland,120085,14655081.7106,0.82
Bare / sparse vegetation,89331,14655081.7106,0.61
Cropland,76291,14655081.7106,0.52
