year,yearName,pu
1,1985,16.62
2,1986,17.27
3,1987,17.9
4,1988,18.16
5,1989,18.66
6,1990,19.52
7,1991,20.6
8,1992,20.98
9,1993,21.67
10,1994,22.01
11,1995,22.19
12,1996,24.12
13,1997,25.57
14,1998,26.64
15,1999,27.42
16,2000,28.23
17,2001,28.91
18,2002,29.45
19,2003,30.01
20,2004,30.71
21,2005,31.34
22,2006,32.16
23,2007,32.99
24,2008,34.19
25,2009,35.42
26,2010,37.0
27,2011,38.18
28,2012,38.99
29,2013,40.03
30,2014,41.01
31,2015,41.52
