year,yearName,fu
1,1985,4.3
2,1986,4.4
3,1987,4.45
4,1988,4.52
5,1989,4.59
6,1990,4.88
7,1991,5.23
8,1992,5.3
9,1993,5.35
10,1994,5.39
11,1995,5.41
12,1996,5.65
13,1997,5.93
14,1998,6.1
15,1999,6.29
16,2000,6.44
17,2001,6.55
18,2002,6.64
19,2003,6.71
20,2004,6.8
21,2005,6.96
22,2006,7.1
23,2007,7.25
24,2008,7.45
25,2009,7.6
26,2010,7.74
27,2011,7.96
28,2012,8.16
29,2013,8.39
30,2014,8.54
31,2015,8.62
