year,yearName,cu
1,1985,0.8
2,1986,0.86
3,1987,0.89
4,1988,0.89
5,1989,0.92
6,1990,0.93
7,1991,0.98
8,1992,0.99
9,1993,1.06
10,1994,1.08
11,1995,1.08
12,1996,1.13
13,1997,1.16
14,1998,1.18
15,1999,1.19
16,2000,1.21
17,2001,1.22
18,2002,1.22
19,2003,1.23
20,2004,1.24
21,2005,1.25
22,2006,1.28
23,2007,1.3
24,2008,1.31
25,2009,1.36
26,2010,1.38
27,2011,1.41
28,2012,1.43
29,2013,1.44
30,2014,1.46
31,2015,1.46
