yearName,population,populationGrowthPercentage
2000,999576.9,
2001,1012694.0,1.312
2002,1025077.0,1.223
2003,1036816.0,1.145
2004,1048314.0,1.109
2005,1059620.0,1.078
2006,1074557.0,1.41
2007,1088791.0,1.325
2008,1102244.0,1.236
2009,1114637.0,1.124
2010,1125874.0,1.008
2011,1135916.0,0.892
2012,1145201.0,0.817
2013,1154591.0,0.82
2014,1164916.0,0.894
2015,1176843.0,1.024
2016,1191289.0,1.228
2017,1207904.0,1.395
2018,1223368.0,1.28
2019,1238787.0,1.26
2020,1254128.0,1.238
2021,1259382.0,0.419
