Bin,Count,Decimal,%,% rounded
-45,534223,0.798169757,79.81697569,79.82
40-85,122360,0.182815138,18.2815138,18.28
85-130,11758,0.017567345,1.756734548,1.76
130-175,714,0.00106677,0.106677026,0.1
175-220,255,0.000380989,0.038098938,0.04
,,,,
,,,,
total pixel,669310,,,
