week,pctile_95
1,23.661455631256104
2,24.50169162750244
3,29.096334266662584
4,31.58204755783081
5,31.77062835693359
6,36.41910800933837
7,37.9816068649292
8,39.049755477905265
9,39.109400749206536
10,37.258090782165525
11,34.99558086395263
12,37.103034400939926
13,35.79386405944824
14,27.300521469116187
15,21.753990173339844
16,12.671734809875488
17,6.983043408393857
18,8.603985881805404
19,5.163630342483518
20,4.731389546394348
21,2.426591777801513
22,2.8661146163940394
23,2.909961938858031
24,3.669374704360962
25,8.110892105102536
26,9.370949268341064
27,10.233376026153564
28,8.638678073883057
29,11.199923658370963
30,5.957930946350084
31,2.853616273403163
32,4.700560522079456
33,3.3018450975418068
34,3.609669578075408
35,3.513888430595397
36,0.8393943190574644
37,0.9494543939828858
38,0.8795786261558528
39,0.9065073758363722
40,0.9544652342796311
41,1.124844312667847
42,1.6969772696495031
43,0.8078941583633417
44,0.7912841856479644
45,1.7879472970962516
46,1.21995449066162
47,2.3690292835235582
48,4.887807559967041
49,9.275732231140134
50,13.181587028503415
51,15.780587577819825
52,19.916253089904785
53,19.073294830322265
