Bin,Count,Slope,percent
0-2,436747,0,0.6525322309061109
2-5,120484,2,0.1800119824715267
5-10,79317,5,0.11850544813995288
10-20,29778,10,0.04449052831942102
20-90,2985,20,0.004459810162988506
