Bin,Count,Elevation,percent
-5-40,534223,NA,0.7981697569138366
40-85,122360,40,0.18281513797791757
85-130,11758,85,0.017567345475190867
130-175,714,130,0.001066770255935217
175-220,255,175,3.809893771197203e-4
